longitude,latitude,vs_mean,vs_std,strain_azimuth,earthquake_occurred
50.90000000000001,34.6,3.5288893333333333,0.2944348944413065,112.99,0
51.000000000000014,34.6,3.5301515,0.2973520740204959,112.99,0
51.100000000000016,34.6,3.5281738666666667,0.2962677868625366,112.99,0
51.20000000000002,34.6,3.525057,0.2952111170926006,112.99,0
51.30000000000002,34.6,3.5190854444444444,0.2924733216384253,119.85,0
51.40000000000002,34.6,3.512433777777778,0.2897483938118114,119.85,0
51.50000000000002,34.6,3.506009222222222,0.2873716931925231,119.85,0
51.60000000000002,34.6,3.4996407777777776,0.2849273675054147,119.85,0
51.70000000000002,34.6,3.493204333333333,0.2820194353724733,119.85,0
51.800000000000026,34.6,3.4867003333333333,0.2779516780249899,119.85,0
51.90000000000003,34.6,3.481516333333333,0.2733272371850416,119.85,0
52.00000000000003,34.6,3.480012444444444,0.2711351694486107,119.85,0
52.10000000000003,34.6,3.483474111111112,0.2743910893368084,119.85,0
52.20000000000003,34.6,3.490470666666667,0.2828092251824113,119.85,0
52.30000000000003,34.6,3.4982596666666663,0.2931360812319463,119.85,0
52.400000000000034,34.6,3.5049415555555554,0.3021774683272266,114.32,0
52.50000000000004,34.6,3.510039555555556,0.3087239297794871,114.32,0
52.60000000000004,34.6,3.5135656666666666,0.3134070745913264,114.32,0
52.70000000000004,34.6,3.515393,0.3174533422417299,114.32,0
52.80000000000004,34.6,3.515,0.321429156879245,114.32,0
52.90000000000004,34.6,3.511814777777778,0.324779200213771,114.32,0
53.00000000000004,34.6,3.5064844444444443,0.3267337451239072,114.32,0
53.10000000000005,34.6,3.4988333333333337,0.3263430862859355,114.32,0
53.200000000000045,34.6,3.4907012222222225,0.3242235455431949,114.32,0
53.30000000000005,34.6,3.4838693333333333,0.3215467263968135,114.32,0
53.40000000000005,34.6,3.479532555555556,0.3190250740650759,114.32,0
53.50000000000005,34.6,3.475806888888889,0.315307792096417,110.44,0
53.60000000000005,34.6,3.470896555555555,0.309546823123072,110.44,0
53.70000000000005,34.6,3.4655032222222224,0.302677211848655,110.44,0
53.80000000000005,34.6,3.4605558888888885,0.2959335207769706,110.44,0
53.900000000000055,34.6,3.4583245,0.2927917499939577,110.44,0
54.00000000000006,34.6,3.4561970000000004,0.2898976526079944,110.44,0
54.10000000000006,34.6,3.499064840223564,0.0,110.44,0
49.9,34.7,3.499064840223564,0.0,20.84,0
50.0,34.7,3.5365006666666665,0.2565196563877054,20.84,0
50.1,34.7,3.532677666666666,0.2577598408606152,20.84,0
50.2,34.7,3.5268753333333334,0.2611038138894213,20.84,0
50.3,34.7,3.5244041666666663,0.2656340452753018,20.84,0
50.400000000000006,34.7,3.523489333333333,0.2711484789106911,20.84,0
50.50000000000001,34.7,3.522135833333333,0.2767895880014557,112.99,0
50.60000000000001,34.7,3.522110666666667,0.2828816459739605,112.99,0
50.70000000000001,34.7,3.524610833333333,0.2889834299239143,112.99,0
50.80000000000001,34.7,3.527766333333334,0.2937780398436539,112.99,0
50.90000000000001,34.7,3.530408666666667,0.2972080974337496,112.99,0
51.000000000000014,34.7,3.5311356666666667,0.2986326594162225,112.99,0
51.100000000000016,34.7,3.529380933333334,0.2975000867203128,112.99,0
51.20000000000002,34.7,3.526427555555556,0.2954045933035779,112.99,0
51.30000000000002,34.7,3.5218146666666668,0.292628571946531,119.85,0
51.40000000000002,34.7,3.516908777777777,0.2904366917296137,119.85,0
51.50000000000002,34.7,3.5119704444444446,0.2889264748102851,119.85,0
51.60000000000002,34.7,3.506698111111111,0.2874197307624831,119.85,0
51.70000000000002,34.7,3.501304111111112,0.285423993016585,119.85,0
51.800000000000026,34.7,3.496493777777778,0.2828689780011448,119.85,0
51.90000000000003,34.7,3.493942666666667,0.2812751809745361,119.85,0
52.00000000000003,34.7,3.4950724444444443,0.2832571650131408,119.85,1
52.10000000000003,34.7,3.4996270000000003,0.2899111394177696,119.85,1
52.20000000000003,34.7,3.505666666666667,0.2994662246577897,119.85,1
52.30000000000003,34.7,3.508772571428571,0.3061281403165469,119.85,0
52.400000000000034,34.7,3.514524,0.3150490748692608,114.32,0
52.50000000000004,34.7,3.5190766666666664,0.3215986098409082,114.32,0
52.60000000000004,34.7,3.521467047619048,0.3257916825800923,114.32,0
52.70000000000004,34.7,3.521176761904762,0.3284704358084325,114.32,0
52.80000000000004,34.7,3.518059523809524,0.3305184280736035,114.32,0
52.90000000000004,34.7,3.512468761904762,0.3320438166604679,114.32,0
53.00000000000004,34.7,3.505629142857143,0.3325640559272516,114.32,0
53.10000000000005,34.7,3.4970767619047622,0.3304826491726689,114.32,0
53.200000000000045,34.7,3.487637523809524,0.3258501359486767,114.32,0
53.30000000000005,34.7,3.4797954285714288,0.3205780115733833,114.32,0
